Unnamed: 0,BrandName,ProductName,Price,ProductRating,Reviews
283,KazarMax,Men's Classic Casual Clogs | Sandals with Adjustable Back Strap | Comfortable & Light Weight | Stylish & Anti-Skid | Everyday Use Memory Foam Clogs,1049,3.7,7000.0
284,SPARX,"mens SS 502 | Latest, Daily Use, Stylish Floaters | Orange Sport Sandal - 6 UK (SS 502)",993,2.2,11.0
285,Bata,Women's Block Heel Sandal,934,3.8,464.0
286,Bata Comfit,Women's Chandra Sandal,1954,4.3,150.0
287,Shoetopia,womens War Sandal,599,3.4,125.0
288,FAUSTO,Men Mojari,899,3.9,1200.0
289,Mochi,Women Comfort & Fashion Chappal,1494,4.0,105.0
290,Bata,Men's Slip-on Sandal,561,4.1,1000.0
291,Bata,Women's Joe Peep Toe Sandal,766,4.2,11.0
292,Metro,Women's Faux Leather Thong Comfy Fashion Sandals,1076,3.6,111.0
293,Mochi,Men's Faux Leather Stylish Sandals,1495,3.9,214.0
294,Shoetopia,Women's Town Heeled Sandal,599,3.8,343.0
295,Neeman's,"The Minimals Cross Strap Casual Sandals for Men | Lightweight, Durable and Flexible Sandals | PU Double Strap & TPR Out sole",1049,4.0,100.0
296,Bata,Women's Slip-on Sandal,909,3.5,402.0
297,KOBURG,Nexa Sandals for Men| Stylish Trending | Comfortable | Super soft | Lightweight | EVA Sole | Casual Sandals | Slippers | Flip Flops for Men KF-464,469,3.8,240.0
298,Bata,Men's Slip-on Sandal - DARK BROWN (9 UK) (8724366),349,3.8,264.0
299,Liberty,"Lucy&Luke ALEX-K3E Kids Clogs for Boys & Girls | Lightweight Slip-On Clogs - Beige & White | Durable & Soft EVA Sole | Comfortable & Breathable Sandals for Walking, Beach & Every Day Wear",349,4.4,78.0
300,Campus,Men's GC-05A Outdoor Sandals,639,2.5,3.0
301,Bata,Women's Block Heel Sandal,681,3.9,261.0
302,Mochi,Women's Faux Leather Block Heel Fashion Sandals,1014,3.7,753.0
303,Bata Comfit,Comfit Women's Diamonte E Slipper,769,3.9,145.0
304,Bata,Men Casual flip flop thong slipper - Brown,499,3.9,2100.0
305,SPARX,Kids Unisex-Child Sandal,424,3.9,5.0
306,Neeman's,Cork Sandals for Men | Stylish and Fashionable Slippers for Boys,1699,3.2,309.0
307,YOHO,"TrailMark 003 Sports Sandals for Men | Comfortable & Lightweight | Flexible & Breathable | Footpharma footbed | Anti-Skid Footwear for Trekking, Hiking & Outdoor",591,4.0,163.0
308,Centrino,Sandals for Men | Casual Fisherman Sandal for Office & Everyday Comfort | Cushioned Grip Insole for All-Day Walking Support | Lightweight & Stylish Sandal for Travel and Outdoor Wear (6113),849,3.7,10900.0
309,DRUNKEN,Slippers For Men Winter Sandals Casual Flats Home Footwear Man Girls Sliders Flip Flops Chappals Ladies Clogs Sleeper Slides Stylish Ortho Soft,999,4.5,2.0
310,YOHO,EVA Sandals for Men | EVA sole | Comfortable cushioned sole with TPR base | Lightweight | Soft skin friendly straps | Adjustable straps | Velcro closure | Vibrant colour options,699,3.6,246.0
311,Centrino,"Men’s Sandals for Man | Stylish Fisherman Sandals with Cushioned Insole, Hook & Loop Strap, Comfortable Walking & Travel Sandal (2340)",699,3.5,2500.0
312,Burwood,Men's Bwd 314 Flip Flop,1699,3.7,617.0
313,FUEL,"Sandals & Floaters for Mens & Boys Comfortable & Lightweight Dailywear, Anti-Skid Flexible & Breathable for Running, Walking Stylish Casual Sandal for Outdoor Footwear For Gents (Keta)",998,3.8,166.0
314,PARAGON,Men’s Adjustable Stylish Sandals for Everyday Wear,669,3.8,176.0
315,White Walkers,Genuine Leather Men's Black Sandals with Woven Strap Detail,749,3.2,33.0
316,TRACER,"Causal Sandals for Men's, Stylish & Comfortable, Eva with Rubber Randal Sole, Knitted Upper Lightweight & Breathable, Closure Velcro, Stylish Sandal, Size - 6 to 11",1215,4.0,103.0
317,CULT,Mens Krios Sandals,1728,3.7,10.0
